date,code,description,debit,credit
2026-01-31,4020,Support package – subscriptions (Jan 2026),0.0,77000.0
2026-01-31,4100,Maintenance contract renewal (Jan 2026),0.0,25200.0
2026-01-31,4110,Implementation / professional services (Jan 2026),0.0,23800.0
2026-01-31,4000,Product sales (Jan 2026),0.0,11200.0
2026-01-31,4900,Other operating revenue (Jan 2026),0.0,2800.0
2026-01-31,5070,Subcontracting (delivery) (Jan 2026),19767.77,0.0
2026-01-31,5030,Direct labour (contractors) (Jan 2026),15374.94,0.0
2026-01-31,5020,Other COGS (hosting/materials) (Jan 2026),8785.68,0.0
2026-01-31,6300,Salaries & benefits (Jan 2026),49530.06,0.0
2026-01-31,6010,Marketing spend (Jan 2026),8313.87,0.0
2026-01-31,6060,Office rent (Jan 2026),6428.03,0.0
2026-01-31,6050,Utilities (Jan 2026),952.8,0.0
2026-01-31,6230,Cloud/SaaS subscriptions (Jan 2026),4383.61,0.0
2026-01-31,6240,Developer tools (Jan 2026),2630.17,0.0
2026-01-31,6530,Security & monitoring (Jan 2026),1753.45,0.0
2026-01-31,6070,Professional fees (Jan 2026),9769.25,0.0
2026-01-31,6100,Travel & client meals (Jan 2026),939.09,0.0
2026-01-31,6085,Insurance premium (Q1 2026),4167.21,0.0
2026-01-31,6200,Depreciation & amortization (Jan 2026),6500.0,0.0
2026-01-31,7100,Finance costs (Jan 2026),2899.07,0.0
2026-01-31,123845,Income tax provision (Jan 2026),5512.19,0.0
2026-02-28,4020,Support package – subscriptions (Feb 2026),0.0,79750.0
2026-02-28,4100,Maintenance contract renewal (Feb 2026),0.0,26100.0
2026-02-28,4110,Implementation / professional services (Feb 2026),0.0,24650.0
2026-02-28,4000,Product sales (Feb 2026),0.0,11600.0
2026-02-28,4900,Other operating revenue (Feb 2026),0.0,2900.0
2026-02-28,5070,Subcontracting (delivery) (Feb 2026),20080.1,0.0
2026-02-28,5030,Direct labour (contractors) (Feb 2026),15617.85,0.0
2026-02-28,5020,Other COGS (hosting/materials) (Feb 2026),8924.49,0.0
2026-02-28,6300,Salaries & benefits (Feb 2026),50014.31,0.0
2026-02-28,6010,Marketing spend (Feb 2026),8005.29,0.0
2026-02-28,6060,Office rent (Feb 2026),6538.97,0.0
2026-02-28,6050,Utilities (Feb 2026),903.96,0.0
2026-02-28,15496,Cloud/SaaS subscriptions (Feb 2026),3915.95,0.0
2026-02-28,6240,Developer tools (Feb 2026),2349.57,0.0
2026-02-28,6530,Security & monitoring (Feb 2026),1566.38,0.0
2026-02-28,6070,Professional fees (Feb 2026),7997.2,0.0
2026-02-28,6100,Travel & client meals (Feb 2026),2759.76,0.0
2026-02-28,6400,Training & recruiting (Feb 2026),2009.75,0.0
2026-02-28,6200,Depreciation & amortization (Feb 2026),6500.0,0.0
2026-02-28,7100,Finance costs (Feb 2026),3395.72,0.0
2026-02-28,8000,Income tax provision (Feb 2026),7099.6,0.0
2026-03-31,02458,Support package – subscriptions (Mar 2026),0.0,82500.0
2026-03-31,4100,Maintenance contract renewal (Mar 2026),0.0,27000.0
2026-03-31,4110,Implementation / professional services (Mar 2026),0.0,25500.0
2026-03-31,4000,Product sales (Mar 2026),0.0,12000.0
2026-03-31,4900,Other operating revenue (Mar 2026),0.0,3000.0
2026-03-31,5070,Subcontracting (delivery) (Mar 2026),20271.01,0.0
2026-03-31,5030,Direct labour (contractors) (Mar 2026),15766.34,0.0
2026-03-31,5020,Other COGS (hosting/materials) (Mar 2026),9009.34,0.0
2026-03-31,6300,Salaries & benefits (Mar 2026),51174.04,0.0
2026-03-31,6010,Marketing spend (Mar 2026),11076.71,0.0
2026-03-31,6060,Office rent (Mar 2026),6457.51,0.0
2026-03-31,6050,Utilities (Mar 2026),788.65,0.0
2026-03-31,6230,Cloud/SaaS subscriptions (Mar 2026),3789.14,0.0
2026-03-31,6240,Developer tools (Mar 2026),2273.48,0.0
2026-03-31,6530,Security & monitoring (Mar 2026),1515.65,0.0
2026-03-31,6070,Professional fees (Mar 2026),9507.84,0.0
2026-03-31,6100,Travel & client meals (Mar 2026),2241.39,0.0
2026-03-31,6320,Repairs & maintenance (Mar 2026),2422.26,0.0
2026-03-31,6200,Depreciation & amortization (Mar 2026),6500.0,0.0
2026-03-31,7100,Finance costs (Mar 2026),3347.03,0.0
2026-03-31,8000,Income tax provision (Mar 2026),6858.68,0.0
2026-04-30,4020,Support package – subscriptions (Apr 2026),0.0,85250.0
2026-04-30,4100,Maintenance contract renewal (Apr 2026),0.0,27900.0
2026-04-30,4110,Implementation / professional services (Apr 2026),0.0,26350.0
2026-04-30,4000,Product sales (Apr 2026),0.0,12400.0
2026-04-30,4900,Other operating revenue (Apr 2026),0.0,3100.0
2026-04-30,5070,Subcontracting (delivery) (Apr 2026),22933.11,0.0
2026-04-30,5030,Direct labour (contractors) (Apr 2026),17836.87,0.0
2026-04-30,5020,Other COGS (hosting/materials) (Apr 2026),10192.5,0.0
2026-04-30,6300,Salaries & benefits (Apr 2026),52850.16,0.0
2026-04-30,6010,Marketing spend (Apr 2026),12581.02,0.0
2026-04-30,6060,Office rent (Apr 2026),6585.65,0.0
