display_order,id,name,type,level,accounts_to_include,accounts_to_exclude,formula,notes
10,1,Ventes,acc,2,70*,,,
20,2,Production stockée,acc,2,71*,,,
30,3,Production immobilisée,acc,2,72*,,,
40,4,Subventions d'exploitation,acc,2,74*,,,
50,5,Autres produits d'exploitation,acc,2,75*,,,
60,6,Reprises et transferts (exploitation),acc,2,78*;79*,,,
70,7,TOTAL Produits d'exploitation,calc,1,,,=1+2+3+4+5+6,
80,8,Achats & approvisionnements,acc,2,60*,,,
90,9,Charges externes,acc,2,61*;62*,,,
100,10,"Impôts, taxes et versements assimilés",acc,2,63*,,,
110,11,Charges de personnel,acc,2,64*,,,
120,12,Autres charges d'exploitation,acc,2,65*,,,
130,13,Dotations aux amortissements et provisions (D&A),acc,2,68*,,,
140,14,TOTAL Charges d'exploitation,calc,1,,,=8+9+10+11+12+13,
150,15,RÉSULTAT D'EXPLOITATION,calc,1,,,=7+14,
160,16,Produits financiers,acc,2,76*,,,
170,17,Charges financières,acc,2,66*,,,
180,18,RÉSULTAT FINANCIER,calc,1,,,=16+17,
190,19,Produits exceptionnels,acc,2,77*,,,
200,20,Charges exceptionnelles,acc,2,67*,,,
210,21,RÉSULTAT EXCEPTIONNEL,calc,1,,,=19+20,
220,22,Impôt sur les bénéfices,acc,1,69*,,,Version simplifiée : agrège 69* (participation inclus si présent)
230,23,RÉSULTAT NET,calc,0,,,=15+18+21+22,
