display_order,id,name,type,level,accounts_to_include,accounts_to_exclude,formula,notes
10,1,"Ventes",acc,2,70*,,,"Inclut 709* (rabais/remises) qui viendront diminuer le CA. Convention FinSight (signes) : Produits → Crédit = positif, Débit = négatif ; Charges → Débit = positif, Crédit = négatif. Les montants sont agrégés avec leur signe d'origine."
20,2,Production stockée,acc,2,71*,,,"Convention FinSight (signes) : Produits → Crédit = positif, Débit = négatif ; Charges → Débit = positif, Crédit = négatif. Les montants sont agrégés avec leur signe d'origine."
30,3,Production immobilisée,acc,2,72*,,,"Convention FinSight (signes) : Produits → Crédit = positif, Débit = négatif ; Charges → Débit = positif, Crédit = négatif. Les montants sont agrégés avec leur signe d'origine."
40,4,Subventions d'exploitation,acc,2,74*,,,"Convention FinSight (signes) : Produits → Crédit = positif, Débit = négatif ; Charges → Débit = positif, Crédit = négatif. Les montants sont agrégés avec leur signe d'origine."
50,5,Autres produits d'exploitation,acc,2,75*,,,"Convention FinSight (signes) : Produits → Crédit = positif, Débit = négatif ; Charges → Débit = positif, Crédit = négatif. Les montants sont agrégés avec leur signe d'origine."
60,6,Reprises et transferts (exploitation),acc,2,78*;79*,,,"Reprises/transferts d'exploitation. Convention FinSight (signes) : Produits → Crédit = positif, Débit = négatif ; Charges → Débit = positif, Crédit = négatif. Les montants sont agrégés avec leur signe d'origine."
70,7,TOTAL Produits d'exploitation,calc,1,,,=1+2+3+4+5+6,Somme des produits d'exploitation.
80,8,Achats & approvisionnements,acc,2,60*,,,"Inclut 600..609 (603 variations incluses). Convention FinSight (signes) : Produits → Crédit = positif, Débit = négatif ; Charges → Débit = positif, Crédit = négatif. Les montants sont agrégés avec leur signe d'origine."
90,9,Charges externes,acc,2,61*;62*,,,"Convention FinSight (signes) : Produits → Crédit = positif, Débit = négatif ; Charges → Débit = positif, Crédit = négatif. Les montants sont agrégés avec leur signe d'origine."
100,10,"Impôts, taxes et versements assimilés",acc,2,63*,,,"Convention FinSight (signes) : Produits → Crédit = positif, Débit = négatif ; Charges → Débit = positif, Crédit = négatif. Les montants sont agrégés avec leur signe d'origine."
110,11,Charges de personnel,acc,2,64*,,,"Convention FinSight (signes) : Produits → Crédit = positif, Débit = négatif ; Charges → Débit = positif, Crédit = négatif. Les montants sont agrégés avec leur signe d'origine."
120,12,Autres charges d'exploitation,acc,2,65*,,,"Convention FinSight (signes) : Produits → Crédit = positif, Débit = négatif ; Charges → Débit = positif, Crédit = négatif. Les montants sont agrégés avec leur signe d'origine."
130,13,Dotations aux amortissements et provisions (D&A),acc,2,68*,,,"Convention FinSight (signes) : Produits → Crédit = positif, Débit = négatif ; Charges → Débit = positif, Crédit = négatif. Les montants sont agrégés avec leur signe d'origine."
140,14,TOTAL Charges d'exploitation,calc,1,,,=8+9+10+11+12+13,Somme des charges d'exploitation.
150,15,RÉSULTAT D'EXPLOITATION,calc,1,,,=7+14,Produits + Charges (charges négatives après normalisation).
160,16,Produits financiers,acc,2,76*,,,"Convention FinSight (signes) : Produits → Crédit = positif, Débit = négatif ; Charges → Débit = positif, Crédit = négatif. Les montants sont agrégés avec leur signe d'origine."
170,17,Charges financières,acc,2,66*,,,"Convention FinSight (signes) : Produits → Crédit = positif, Débit = négatif ; Charges → Débit = positif, Crédit = négatif. Les montants sont agrégés avec leur signe d'origine."
180,18,RÉSULTAT FINANCIER,calc,1,,,=16+17,Produits financiers + Charges financières (charges négatives après normalisation).
190,19,Produits exceptionnels,acc,2,77*,,,"Convention FinSight (signes) : Produits → Crédit = positif, Débit = négatif ; Charges → Débit = positif, Crédit = négatif. Les montants sont agrégés avec leur signe d'origine."
200,20,Charges exceptionnelles,acc,2,67*,,,"Convention FinSight (signes) : Produits → Crédit = positif, Débit = négatif ; Charges → Débit = positif, Crédit = négatif. Les montants sont agrégés avec leur signe d'origine."
210,21,RÉSULTAT EXCEPTIONNEL,calc,1,,,=19+20,Produits exceptionnels + Charges exceptionnelles (charges négatives après normalisation).
220,22,Impôt sur les bénéfices (incluant 691* si présent),acc,1,69*,,,Version simplifiée : agrège 69* (participation inclus si présent).
230,23,RÉSULTAT NET,calc,0,,,=15+18+21+22,Exploitation + Financier + Exceptionnel + Impôt (charge négative après normalisation).
