account_number,name
4000,Product revenue (400-1)
4005,Product revenue (400-2)
4010,Product revenue (401-1)
4015,Product revenue (401-2)
4020,Subscription revenue (402-1)
4025,Subscription revenue (402-2)
4030,Product revenue (403-1)
4035,Product revenue (403-2)
4040,Product revenue (404-1)
4045,Product revenue (404-2)
4050,Product revenue (405-1)
4055,Product revenue (405-2)
4060,Product revenue (406-1)
4065,Product revenue (406-2)
4070,Product revenue (407-1)
4075,Product revenue (407-2)
4080,Product revenue (408-1)
4085,Product revenue (408-2)
4090,Sales returns and allowances (409-1)
4095,Sales returns and allowances (409-2)
4100,Service revenue (41-1)
4110,Service revenue (41-2)
4190,Service revenue (41-3)
4200,Other operating revenue (42-1)
4210,Other operating revenue (42-2)
4290,Other operating revenue (42-3)
4300,Other operating revenue (43-1)
4310,Other operating revenue (43-2)
4390,Other operating revenue (43-3)
4400,Other operating revenue (44-1)
4410,Other operating revenue (44-2)
4490,Other operating revenue (44-3)
4500,Other operating revenue (45-1)
4510,Other operating revenue (45-2)
4590,Other operating revenue (45-3)
4600,Other operating revenue (46-1)
4610,Other operating revenue (46-2)
4690,Other operating revenue (46-3)
4700,Rental revenue (47-1)
4710,Rental revenue (47-2)
4790,Rental revenue (47-3)
4800,Other operating revenue (48-1)
4810,Other operating revenue (48-2)
4890,Other operating revenue (48-3)
4900,Other operating revenue (49-1)
4910,Other operating revenue (49-2)
4990,Other operating revenue (49-3)
5000,Cost of goods purchased (500-1)
5005,Cost of goods purchased (500-2)
5010,Direct materials (501-1)
5015,Direct materials (501-2)
5020,Other cost of sales (materials & goods) (502-1)
5025,Other cost of sales (materials & goods) (502-2)
5030,Direct labour (503-1)
5035,Direct labour (503-2)
5040,Other cost of sales (materials & goods) (504-1)
5045,Other cost of sales (materials & goods) (504-2)
5050,Other cost of sales (materials & goods) (505-1)
5055,Other cost of sales (materials & goods) (505-2)
5060,Other cost of sales (materials & goods) (506-1)
5065,Other cost of sales (materials & goods) (506-2)
5070,Manufacturing subcontracting (507-1)
5075,Manufacturing subcontracting (507-2)
5080,Other cost of sales (materials & goods) (508-1)
5085,Other cost of sales (materials & goods) (508-2)
5090,Inventory adjustments (509-1)
5095,Inventory adjustments (509-2)
5100,Inbound freight and shipping (51-1)
5110,Inbound freight and shipping (51-2)
5190,Inbound freight and shipping (51-3)
5200,Warehousing & distribution (cost of sales) (52-1)
5210,Warehousing & distribution (cost of sales) (52-2)
5290,Warehousing & distribution (cost of sales) (52-3)
5300,Production supplies and packaging (53-1)
5310,Production supplies and packaging (53-2)
