display_order,id,name,type,level,accounts_to_include,accounts_to_exclude,formula,canonical_measure,notes
10,1,Ventes de marchandises,acc,3,707*;7097*,,,,
20,2,Ventes de produits finis,acc,3,701*;7091*,,,,
30,3,Ventes de produits intermédiaires,acc,3,702*;7092*,,,,
40,4,Ventes de produits résiduels,acc,3,703*;7093*,,,,
50,5,Travaux,acc,3,704*;7094*,,,,
60,6,Etudes,acc,3,705*;7095*,,,,
70,7,Prestations de services,acc,3,706*;7096*,,,,
80,8,Produits des activités connexes,acc,3,708*;7098*,,,,
90,9,Autres rabais,acc,3,709*,7091*;7092*;7093*;7094*;7095*;7096*;7097*;7098*,,,
100,10,Autres ventes,acc,3,700*,,,,
110,11,Chiffre d'Affaires net,calc,2,,,=1+2+3+4+5+6+7+8+9+10,revenue,
120,12,En-cours de production de biens,acc,3,7133*,,,,
130,13,En-cours de production de services,acc,3,7134*,,,,
140,14,Variations de stocks de produits,acc,3,7135*,,,,
150,15,Autres (production stockée),acc,3,71*,7133*;7134*;7135*,,,
160,16,Production stockée,calc,2,,,=12+13+14+15,,
170,17,Immobilisations incorporelles,acc,3,721*,,,,
180,18,Immobilisations corporelles,acc,3,722*,,,,
190,19,Autres (production immobilisée),acc,3,72*,721*;722*,,,
200,20,Production immobilisée,calc,2,,,=17+18+19,,
210,21,Subvention d'exploitation,acc,2,74*,,,,
220,22,Autres produits de gestion courante,acc,2,75*,755*,,,
230,23,Reprises sur amortissements - dep. et prov. prod. d'exploitation,acc,3,781*,,,,
240,24,Transferts de charges d'exploitation,acc,3,791*,,,,
250,25,TOTAL Produits d'exploitation,calc,1,,,=11+16+20+21+22+23+24,total_operating_income,
260,26,Achats de marchandises,acc,3,607*;6097*,,,,
270,27,Variations de stocks de marchandises,acc,3,6037*,,,,
280,28,Achats de matières premières,acc,3,601*;6091*,,,,
290,29,Achats - Autres approvisionnements,acc,3,602*;6092*,,,,
300,30,Variations de stocks de matières premières,acc,3,6031*,,,,
310,31,Variations de stocks d'autres approvisionnements,acc,3,6032*,,,,
320,32,Achats d'études et prestations de services,acc,3,604*;6094*,,,,
330,33,Achats de matériel - équipement et travaux,acc,3,605*;6095*,,,,
340,34,Achats de matières et fournitures,acc,3,606*;6096*,,,,
350,35,Autres variations de stocks,acc,3,603*,6031*;6032*;6037*,,,
360,36,Compte réservé,acc,3,608*,,,,
370,37,Autres rabais,acc,3,609*,6091*;6092*;6094*;6095*;6096*,,,
380,38,Autres Achats,acc,3,600*,,,,
390,39,Total Achats,calc,2,,,=26+27+28+29+30+31+32+33+34+35+36+37+38,cost_of_goods_sold,
400,40,Sous-traitance générale,acc,3,611*,,,,
410,41,Redevances de crédit-bail,acc,3,612*,,,,
420,42,Locations,acc,3,613*,,,,
430,43,Charges locatives et de copropriété,acc,3,614*,,,,
440,44,Entretien et réparations,acc,3,615*,,,,
450,45,Primes d'assurances,acc,3,616*,,,,
460,46,Etudes et recherches,acc,3,617*,,,,
470,47,Divers,acc,3,618*,,,,
480,48,Rabais sur services extérieurs,acc,3,619*,,,,
490,49,Autres,acc,3,610*,,,,
500,50,Services extérieurs,calc,2,,,=40+41+42+43+44+45+46+47+48+49,external_charges,
510,51,Personnel extérieur à l'entreprise,acc,3,621*,,,,
520,52,Rémunérations d'intermédiaires et honoraires,acc,3,622*,,,,
530,53,Publicité - publications - relations publiques,acc,3,623*,,,,
540,54,Transport de biens et transports collectif du personnel,acc,3,624*,,,,
550,55,Déplacements - missions et réceptions,acc,3,625*,,,,
560,56,Frais postaux et de télécommunications,acc,3,626*,,,,
570,57,Services bancaires et assimilés,acc,3,627*,,,,
580,58,Divers,acc,3,628*,,,,
590,59,Rabais,acc,3,629*,,,,
600,60,Autres,acc,3,620*,,,,
610,61,Autres Services extérieurs,calc,2,,,=51+52+53+54+55+56+57+58+59+60,external_charges,
620,62,Impôts - taxes et versements assimilés sur rémunérations (administrations des impôts),acc,3,631*,,,,
630,63,Impôts - taxes et versements assimilés sur rémunérations (autres organismes),acc,3,633*,,,,
640,64,Autres impôts - taxes et versements assimilés (administrations des impôts),acc,3,635*,,,,
650,65,Autres impôts - taxes et versements assimilés (autres organismes),acc,3,637*,,,,
660,66,Autres impôts,acc,3,63*,631*;633*;635*;637*,,,
670,67,Impôts - taxes et versements assimilés,calc,2,,,=62+63+64+65+66,taxes_and_duties,
680,68,Rémunérations du personnel,acc,3,641*,,,,
690,69,Rémunération du travail de l'exploitant,acc,3,644*,,,,
700,70,Autres charges de personnel,acc,3,648*,,,,
710,71,Salaires et traitements,calc,2,,,=68+69+70,personnel_expenses,
720,72,Charges de sécurité sociale et de prévoyance,acc,3,645*,,,,
730,73,Cotisations sociales personnelles de l'exploitant,acc,3,646*,,,,
740,74,Autres charges sociales,acc,3,647*,,,,
750,75,Charges sociales,calc,2,,,=72+73+74,personnel_expenses,
760,76,Autres charges du personnel,acc,3,640*;642*;643*;649*,,,,
770,77,Autres charges de gestion courante,acc,3,65*,655*,,,
780,78,Dotations aux amortissements - dép. et prov. - charges d'exploitation,acc,3,681*,,,depreciation_amortization,
790,79,TOTAL Charges d'exploitation,calc,1,,,=39+50+61+67+71+75+76+77+78,total_operating_expenses,
800,80,RÉSULTAT D'EXPLOITATION,calc,1,,,=25+79,operating_income,
