display_order,id,name,type,level,accounts_to_include,accounts_to_exclude,formula,canonical_measure,notes
10,1,Product revenue,acc,3,400*;401*;403*;404*;405*;406*;407*;408*,,,,Sales of tangible products (US GAAP: product revenue)
20,2,Service revenue,acc,3,41*,,,,Sales of services (US GAAP: service revenue)
30,3,Subscription revenue,acc,3,402*,,,,"Subscriptions, SaaS and other recurring service revenue"
40,4,Other operating revenue,acc,3,42*;43*;44*;45*;46*;48*;49*,,,,Miscellaneous operating revenue not classified elsewhere
50,5,Rental revenue,acc,3,47*,,,,Rental and leasing revenue from operating activities
60,6,Sales returns and allowances,acc,3,409*,,,,"Reductions of revenue for discounts, returns and allowances (negative amounts)"
100,10,Net revenue,calc,2,,,=1+2+3+4+5+6,revenue,"Net operating revenue after discounts, returns and allowances"
210,21,Cost of goods purchased,acc,3,500*,,,,Purchased goods held for resale (inventory purchases)
220,22,Direct materials,acc,3,501*,,,,Purchased raw materials and components used in production
230,23,Direct labor,acc,3,503*,,,,Direct labor costs directly attributable to production
240,24,Manufacturing subcontracting,acc,3,507*,,,,Amounts paid to third parties for manufacturing or production
250,25,Inventory adjustments (COGS),acc,3,509*,,,,Inventory change impacting cost of goods sold (negative if inventory increases)
260,26,Other cost of goods sold,acc,3,502*;504*;505*;506*;508*,,,,Other costs of goods sold related to materials and supplies
270,27,Inbound freight and shipping on purchases,acc,3,51*,,,,Inbound freight and shipping related to purchased goods
280,28,Warehousing & distribution (cost of sales),acc,3,52*,,,,Warehousing and distribution costs directly tied to cost of sales
290,29,Production supplies & packaging,acc,3,53*,,,,"Packaging, labels and production-related supplies"
300,31,Manufacturing overhead,acc,3,54*,,,,Production-related overhead costs (indirect manufacturing costs)
310,32,Product handling & delivery (cost of sales),acc,3,55*,,,,Delivery and handling costs for goods sold (cost of sales)
320,33,Royalties & production fees,acc,3,56*,,,,Royalties and licensing fees tied to product sales
330,34,Warranty costs (COGS),acc,3,57*,,,,Estimated costs of warranties and after-sale guarantees
340,35,Marketplace selling fees (Amazon/Shopify etc.),acc,3,58*,,,,Online marketplace and platform selling fees linked to product sales
350,36,Other direct costs (cost of sales),acc,3,59*,,,,Other direct costs directly related to production and sales
400,20,Cost of goods sold (COGS),calc,2,,,=21+22+23+24+25+26+27+28+29+31+32+33+34+35+36,cost_of_goods_sold,Total cost of goods sold
500,30,Gross profit,calc,1,,,=10+20,gross_margin,Revenue minus cost of goods sold (gross profit)
510,41,Salaries; wages & benefits,acc,3,630*,,,personnel_expenses,"Salaries, wages, bonuses, employer payroll taxes and benefits"
520,42,Contractors & subcontractors (OpEx),acc,3,631*,,,,"External consultants, freelancers and subcontracted services (operating expenses)"
530,43,Advertising & marketing,acc,3,601*,,,,"Advertising, promotion and marketing expenses (including digital marketing)"
540,44,Office expenses & supplies,acc,3,604*,,,,"Office supplies, small equipment and general office-related expenses"
550,45,Rent & lease expenses,acc,3,606*,,,,"Rent and lease expense for offices, retail space and warehouses"
560,46,Utilities,acc,3,605*,,,,"Electricity, water, heating, internet and telecom services"
570,47,Professional & consulting fees,acc,3,607*,,,,"Legal, audit, accounting and other professional service fees"
580,48,Insurance,acc,3,608*,,,,"Insurance premiums for business, property and liability coverage"
590,49,Travel; meals & entertainment,acc,3,610*,,,,"Business travel expenses, lodging, meals and related costs"
600,50,Vehicle expenses,acc,3,612*,,,,"Fuel, maintenance, insurance and other vehicle-related operating costs"
610,51,Bank charges & payment processing fees,acc,3,609*,,,,"Bank charges, merchant fees and other payment processing fees"
620,52,Bad debt expense,acc,3,613*,,,,"Expense related to doubtful accounts and expected credit losses"
630,53,General supplies & miscellaneous operating expenses,acc,3,600*;602*;603*;611*;614*;615*;616*;617*;618*;619*,,,,"Miscellaneous operating expenses and supplies not classified elsewhere"
